"Date Time","Date Time(RAW)","%idle","%idle(RAW)","%user","%user(RAW)","%system","%system(RAW)","%iowait","%iowait(RAW)","%used","%used(RAW)","Coverage","Coverage(RAW)"
"4/18/2020 1:49:32 PM","43939.2843991204","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 1:50:32 PM","43939.2850933912","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 1:51:32 PM","43939.2857878357","99.84 %","99.8400","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.16 %","0.1600","100 %","0000010000"
"4/18/2020 1:52:32 PM","43939.2864823958","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 1:53:32 PM","43939.2871767130","99.85 %","99.8500","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.15 %","0.1500","100 %","0000010000"
"4/18/2020 1:54:32 PM","43939.2878712731","99.86 %","99.8600","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.14 %","0.1400","100 %","0000010000"
"4/18/2020 1:55:32 PM","43939.2885655903","99.87 %","99.8700","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.13 %","0.1300","100 %","0000010000"
"4/18/2020 1:56:32 PM","43939.2892600579","99.81 %","99.8100","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.19 %","0.1900","100 %","0000010000"
"4/18/2020 1:57:32 PM","43939.2899545255","99.87 %","99.8700","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.13 %","0.1300","100 %","0000010000"
"4/18/2020 1:58:32 PM","43939.2906490741","99.86 %","99.8600","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.14 %","0.1400","100 %","0000010000"
"4/18/2020 1:59:32 PM","43939.2913434606","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 2:00:32 PM","43939.2920381713","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 2:01:32 PM","43939.2927323032","99.8 %","99.8000","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.2 %","0.2000","100 %","0000010000"
"4/18/2020 2:02:32 PM","43939.2934266667","99.87 %","99.8700","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.13 %","0.1300","100 %","0000010000"
"4/18/2020 2:03:32 PM","43939.2941225000","99.86 %","99.8600","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.14 %","0.1400","100 %","0000010000"
"4/18/2020 2:04:32 PM","43939.2948157755","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 2:05:32 PM","43939.2955099884","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 2:06:32 PM","43939.2962050231","99.83 %","99.8300","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.17 %","0.1700","100 %","0000010000"
"4/18/2020 2:07:27 PM","43939.2968425926","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 2:08:32 PM","43939.2975936921","99.87 %","99.8700","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.13 %","0.1300","100 %","0000010000"
"4/18/2020 2:09:32 PM","43939.2982885069","99.85 %","99.8500","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.15 %","0.1500","100 %","0000010000"
"4/18/2020 2:10:32 PM","43939.2989825463","99.84 %","99.8400","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.16 %","0.1600","100 %","0000010000"
"4/18/2020 2:11:32 PM","43939.2996774306","99.83 %","99.8300","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.17 %","0.1700","100 %","0000010000"
"4/18/2020 2:12:32 PM","43939.3003713426","99.87 %","99.8700","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.13 %","0.1300","100 %","0000010000"
"4/18/2020 2:13:32 PM","43939.3010658218","99.82 %","99.8200","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.18 %","0.1800","100 %","0000010000"
"4/18/2020 2:14:32 PM","43939.3017604630","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 2:15:32 PM","43939.3024545486","99.87 %","99.8700","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.13 %","0.1300","100 %","0000010000"
"4/18/2020 2:16:32 PM","43939.3031489699","99.84 %","99.8400","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.16 %","0.1600","100 %","0000010000"
"4/18/2020 2:17:32 PM","43939.3038437616","99.85 %","99.8500","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.15 %","0.1500","100 %","0000010000"
"4/18/2020 2:18:32 PM","43939.3045381481","99.86 %","99.8600","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.14 %","0.1400","100 %","0000010000"
"4/18/2020 2:19:32 PM","43939.3052325347","99.89 %","99.8900","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.11 %","0.1100","100 %","0000010000"
"4/18/2020 2:20:32 PM","43939.3059266782","99.87 %","99.8700","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.13 %","0.1300","100 %","0000010000"
"4/18/2020 2:21:32 PM","43939.3066212847","99.84 %","99.8400","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.16 %","0.1600","100 %","0000010000"
"4/18/2020 2:22:32 PM","43939.3073156829","99.85 %","99.8500","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.15 %","0.1500","100 %","0000010000"
"4/18/2020 2:23:32 PM","43939.3080105093","99.85 %","99.8500","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.15 %","0.1500","100 %","0000010000"
"4/18/2020 2:24:32 PM","43939.3087046296","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 2:25:32 PM","43939.3093994097","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 2:26:32 PM","43939.3100940856","99.84 %","99.8400","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.16 %","0.1600","100 %","0000010000"
"4/18/2020 2:27:32 PM","43939.3107881134","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 2:28:32 PM","43939.3114830440","99.86 %","99.8600","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.14 %","0.1400","100 %","0000010000"
"4/18/2020 2:29:32 PM","43939.3121768403","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 2:30:32 PM","43939.3128717940","99.87 %","99.8700","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.13 %","0.1300","100 %","0000010000"
"4/18/2020 2:31:32 PM","43939.3135657407","99.82 %","99.8200","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.18 %","0.1800","100 %","0000010000"
"4/18/2020 2:32:32 PM","43939.3142610070","99.87 %","99.8700","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.13 %","0.1300","100 %","0000010000"
"4/18/2020 2:33:32 PM","43939.3149548495","99.86 %","99.8600","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.14 %","0.1400","100 %","0000010000"
